,Neighbourhood,1,2,3,4+
0,Bayview,95.05555555555556,187.0,344.6666666666667,400.0
1,Bernal Heights,132.4223107569721,242.92631578947368,326.45,496.27777777777777
2,Castro/Upper Market,169.18345323741008,308.0495049504951,447.41509433962267,694.2352941176471
3,Chinatown,198.76,276.6666666666667,10000.0,1500.0
4,Crocker Amazon,85.9,137.33333333333334,315.0,300.0
5,Diamond Heights,144.15384615384616,284.0,310.0,295.0
6,Downtown/Civic Center,216.4887459807074,395.02941176470586,630.0,84.0
7,Excelsior,85.29906542056075,174.375,442.6363636363636,444.375
8,Financial District,209.19811320754718,532.5238095238095,1240.0,
9,Glen Park,143.8,241.75,430.5,445.5
10,Golden Gate Park,121.25,171.5,,889.0
11,Haight Ashbury,144.16287878787878,318.45454545454544,494.5806451612903,783.05
12,Inner Richmond,135.46022727272728,315.42857142857144,405.4,586.0434782608696
13,Inner Sunset,146.5943396226415,323.3703703703704,370.6,1283.3333333333333
14,Lakeshore,119.1025641025641,313.3333333333333,463.3333333333333,298.0
15,Marina,199.3736842105263,430.54901960784315,789.6818181818181,1081.3076923076924
16,Mission,146.7957142857143,280.438202247191,493.08641975308643,715.05
17,Nob Hill,180.14414414414415,324.2972972972973,696.2631578947369,959.8333333333334
18,Noe Valley,173.55803571428572,330.075,485.25,790.5294117647059
19,North Beach,176.27927927927928,621.375,628.8181818181819,925.0
20,Ocean View,114.51898734177215,194.26315789473685,269.75,488.5
21,Outer Mission,122.68867924528301,304.35714285714283,362.0,252.4
22,Outer Richmond,133.91525423728814,208.72222222222223,294.3636363636364,943.2222222222222
23,Outer Sunset,111.8719512195122,209.54901960784315,396.11764705882354,527.5
24,Pacific Heights,191.01408450704224,429.7358490566038,715.0769230769231,1522.0
25,Parkside,199.01298701298703,247.52,387.25,474.5
26,Potrero Hill,243.8841463414634,398.40983606557376,529.9354838709677,951.25
27,Presidio,160.0,,699.0,800.0
28,Presidio Heights,174.8148148148148,356.0,667.5,3060.0
29,Russian Hill,211.22556390977442,460.6326530612245,1069.0,1544.6666666666667
30,Seacliff,146.33333333333334,243.0,386.6666666666667,
31,South of Market,258.22197802197803,592.1473684210526,1231.4285714285713,
32,Treasure Island/YBI,93.42105263157895,,,
33,Twin Peaks,145.04347826086956,293.8421052631579,398.3333333333333,711.25
34,Visitacion Valley,112.6923076923077,225.25,235.0,260.0
35,West of Twin Peaks,118.56410256410257,217.0,462.8888888888889,560.8333333333334
36,Western Addition,165.98373983739836,340.8085106382979,447.1111111111111,1484.7586206896551
