,Neighbourhood,Accuracy,Cleanliness,Check-in,Communication,Location,Value
0,Bayview,9.425531914893616,9.297872340425531,9.75531914893617,9.712765957446809,8.159574468085106,9.148936170212766
1,Bernal Heights,9.807162534435262,9.639118457300276,9.898071625344352,9.900826446280991,9.534435261707989,9.505524861878452
2,Castro/Upper Market,9.727959697732997,9.638190954773869,9.874055415617129,9.859296482412061,9.8816120906801,9.493702770780857
3,Chinatown,9.23,9.4,9.636363636363637,9.72,9.737373737373737,9.16161616161616
4,Crocker Amazon,9.391304347826088,9.347826086956522,9.73913043478261,9.73913043478261,8.695652173913043,9.08695652173913
5,Diamond Heights,9.823529411764707,9.764705882352942,10.0,9.941176470588236,9.823529411764707,9.705882352941176
6,Downtown/Civic Center,9.246612466124661,9.159029649595688,9.514986376021799,9.420485175202156,9.05163043478261,9.02724795640327
7,Excelsior,9.472868217054264,9.193798449612403,9.736434108527131,9.713178294573643,8.806201550387597,9.255813953488373
8,Financial District,9.4,9.44,9.767676767676768,9.79,9.777777777777779,9.313131313131313
9,Glen Park,9.826086956521738,9.55072463768116,9.884057971014492,9.898550724637682,9.695652173913043,9.695652173913043
10,Golden Gate Park,9.875,8.625,9.625,9.25,9.75,8.875
11,Haight Ashbury,9.58860759493671,9.33860759493671,9.737341772151899,9.74367088607595,9.75632911392405,9.30379746835443
12,Inner Richmond,9.646788990825687,9.44954128440367,9.76605504587156,9.8348623853211,9.660550458715596,9.36697247706422
13,Inner Sunset,9.693548387096774,9.5,9.903225806451612,9.870967741935484,9.725806451612904,9.491935483870968
14,Lakeshore,9.441176470588236,9.058823529411764,9.705882352941176,9.823529411764707,9.352941176470589,9.147058823529411
15,Marina,9.685106382978724,9.527659574468085,9.782978723404256,9.795744680851064,9.902127659574468,9.417021276595746
16,Mission,9.734207389749702,9.535160905840286,9.851851851851851,9.859356376638855,9.556750298685783,9.377538829151732
17,Nob Hill,9.569620253164556,9.362869198312236,9.70464135021097,9.746835443037975,9.767932489451477,9.278481012658228
18,Noe Valley,9.745398773006135,9.631901840490798,9.89877300613497,9.89877300613497,9.843558282208589,9.45398773006135
19,North Beach,9.608695652173912,9.376811594202898,9.797101449275363,9.782608695652174,9.753623188405797,9.31159420289855
20,Ocean View,9.615384615384615,9.274725274725276,9.725274725274724,9.692307692307692,9.087912087912088,9.252747252747254
21,Outer Mission,9.776978417266188,9.618705035971223,9.848920863309353,9.856115107913668,9.244604316546763,9.46043165467626
22,Outer Richmond,9.702702702702704,9.547297297297296,9.89864864864865,9.783783783783784,9.493243243243244,9.412162162162161
23,Outer Sunset,9.71563981042654,9.563981042654028,9.876777251184834,9.80568720379147,9.445497630331754,9.431279620853081
24,Pacific Heights,9.658536585365853,9.475609756097562,9.774390243902438,9.824242424242424,9.884848484848485,9.384146341463415
25,Parkside,9.645833333333334,9.458333333333334,9.791666666666666,9.729166666666666,9.427083333333334,9.364583333333334
26,Potrero Hill,9.774774774774775,9.641255605381167,9.91891891891892,9.905829596412556,9.545045045045045,9.477477477477477
27,Presidio,9.666666666666666,10.0,10.0,10.0,9.666666666666666,9.666666666666666
28,Presidio Heights,9.741935483870968,9.64516129032258,9.903225806451612,9.806451612903226,9.64516129032258,9.580645161290322
29,Russian Hill,9.613924050632912,9.5,9.73248407643312,9.765822784810126,9.834394904458598,9.305732484076433
30,Seacliff,9.666666666666666,9.5,9.944444444444445,9.88888888888889,9.666666666666666,9.38888888888889
31,South of Market,9.638297872340425,9.423167848699764,9.73049645390071,9.749408983451536,9.238770685579196,9.3096926713948
32,Treasure Island/YBI,9.352941176470589,9.352941176470589,9.470588235294118,9.6875,9.5625,9.625
33,Twin Peaks,9.846153846153847,9.692307692307692,9.897435897435898,9.884615384615385,9.564102564102564,9.666666666666666
34,Visitacion Valley,9.65625,9.53125,9.8125,9.8125,9.03125,9.4375
35,West of Twin Peaks,9.829787234042554,9.712765957446809,9.872340425531915,9.914893617021276,9.627659574468085,9.606382978723405
36,Western Addition,9.694300518134716,9.513840830449826,9.847750865051903,9.846286701208982,9.754325259515571,9.42733564013841
